no [2354]
wa [1731]
ni [1666]
o [1451]
ga [1279]
eren [726]
ka [630]
to [612]
kyojin [496]
mo [448]
de [397]
yo [354]
arumin [348]
na [331]
nda [309]
koto [295]
― [290]
~tsu [277]
mikasa [251]
ore [228]
shite [220]
koe [216]
suru [209]
a [207]
nani [206]
kono [189]
n [187]
zo [187]
̄ [184]
ā [182]
kara [181]
omae [176]
iru [175]
e [165]
heishi [161]
jan [157]
shita [149]
sa [143]
tte [141]
demo [139]
sore [135]
jinrui [131]
nai [130]
shi [127]
ima [126]
koko [126]
ano [123]
dō [122]
aru [120]
sono [120]
made [115]
ī [115]
heidan [114]
rivu~ai [114]
watashi [112]
dake [105]
chōsa [103]
kabe [103]
kore [103]
ani [102]
eruvu~in [102]
ne [102]
sō [97]
mō [95]
oi [95]
sonna [94]
ha~tsu [92]
ū [89]
janai [88]
dekiru [83]
ja [79]
oretachi [79]
toki [79]
iu [75]
han [74]
sakusen [73]
yatsu [73]
a~tsu [72]
teru [71]
ha~a [70]
naru [69]
hanji [65]
konī [65]
reta [65]
yaru [65]
mada [62]
nante [62]
wareware [62]
datte [61]
jibun [60]
kunren-hei [60]
mono [60]
uwa [59]
ā~tsu [59]
boku [58]
tame [58]
chikara [57]
ita [57]
hito [56]
u~tsu [56]
hai [55]
iya [55]
kita [55]
naka [55]
minna [54]
yori [54]
reru [53]
ya [53]
heichō [52]
onna-gata [52]
aitsu [51]
koitsu [51]
mae [51]
shikashi [51]
yatte [51]
kare [50]
ningen [50]
rainā [50]
dansei [49]
kamo [47]
karada [47]
u [47]
omaera [46]
omou [46]
pikushisu [46]
u~ōru [46]
inochi [45]
kure [45]
oto [45]
mata [44]
shika [43]
yō [43]
gunta [42]
konna [42]
maruko [42]
oruo [42]
wake [42]
♪~ [42]
kenpeidan [41]
kisama [41]
sasha [41]
danchō [40]
erudo [40]
i~ēgā [40]
ki [40]
mama [40]
re [40]
shiro [40]
~♪ [40]
ō [40]
— [40]
are [39]
natta [38]
kuru [37]
petora [37]
rete [37]
dekinai [36]
dōshite [36]
i [36]
ku~tsu [36]
sekai [36]
subete [36]
yatsura [35]
~ [35]
e~tsu [34]
nā [34]
soto [34]
tada [34]
doko [33]
hayaku [33]
ian [33]
janē [33]
jūmin [33]
kidō [33]
nanka [33]
sōda [33]
un [33]
hō [32]
iku [32]
karera [32]
me [32]
natte [32]
naze [32]
rittai [32]
soko [32]
uwa~tsu [32]
maria [31]
nanda [31]
soshite [31]
chigau [30]
dare [30]
ijō [30]
itte [30]
mori [30]
tokoro [30]
kimi [29]
kīsu [29]
wanai [29]
heishi-tachi [28]
itta [28]
machi [28]
nan [28]
1-ri [27]
anata [27]
kotoda [27]
kuso~tsu [27]
tobira [27]
uma [27]
ze [27]
anta [26]
atta [26]
baka [26]
dakara [26]
ittai [26]
masaka [26]
nakama [26]
nanida [26]
shinu [26]
taichō [26]
watashitachi [26]
hazuda [25]
hitsuyō [25]
ma [25]
jikan [24]
mate [24]
riko [24]
rōze [24]
shitara [24]
yoroi [24]
daga [23]
jōkyō [23]
konkai [23]
sugu [23]
wakaranai [23]
yoku [23]
akkāman [22]
chō [22]
ha [22]
hanchō [22]
hodo [22]
hontōni [22]
kenpei [22]
kuso [22]
kuwa [22]
mon [22]
sae [22]
seiei [22]
te [22]
wakatta [22]
ōgata [22]
2-ri [21]
haitte [21]
hakai [21]
hanashi [21]
handan [21]
hokyūhei [21]
jā [21]
kitto [21]
kurisuta [21]
nē [21]
rareru [21]
seru [21]
sureba [21]
tonikaku [21]
totte [21]
yarō [21]
yōna [21]
1tsu [20]
dazu [20]
endan [20]
hanin [20]
hannesu [20]
hoka [20]
kyojin-ka [20]
mi [20]
sakki [20]
tashika [20]
temē [20]
yatta [20]
yotte [20]
dakeda [19]
dakkan [19]
ichidō [19]
inai [19]
kabe-gai [19]
kiita [19]
kotchi [19]
kudasai [19]
kyō [19]
miro [19]
sete [19]
shirei [19]
soitsu [19]
toro [19]
ashioto [18]
chotto [18]
hei [18]
honto [18]
iwa [18]
jinkei [18]
kittsu [18]
mita [18]
mite [18]
ndaro [18]
shinai [18]
shinda [18]
shinpei [18]
ue [18]
wakaru [18]
zawameki [18]
arimasen [17]
atama [17]
dameda [17]
ie [17]
itsu [17]
korosu [17]
kāsan [17]
kō [17]
mā [17]
naichi [17]
ndarou [17]
nesu [17]
omotta [17]
se [17]
seikō [17]
suto-ku [17]
sōchi [17]
tettai [17]
tsumari [17]
ude [17]
zen [17]
5-nen [16]
ana [16]
chikashitsu [16]
chūton [16]
gurisha [16]
happō-on [16]
hōki [16]
kakunin [16]
kao [16]
kite [16]
mitabi [16]
moshi [16]
nanika [16]
ndakara [16]
omaetachi [16]
rikai [16]
riyū [16]
ro [16]
sonī [16]
sā [16]
tatakae [16]
teki [16]
tenai [16]
toka [16]
yose [16]
ato [15]
chūton-hei [15]
daijōbu [15]
darisu [15]
honbu [15]
kakugo [15]
kami [15]
kangae [15]
kangaete [15]
koreijō [15]
m-kyū [15]
mamoru [15]
maru [15]
mitai [15]
nande [15]
oite [15]
sakuteki [15]
shiyou [15]
somosomo [15]
tatakau [15]
tōsan [15]
unaji [15]
yakko [15]
yokatta [15]
anna [14]
donna [14]
gaki [14]
gasu [14]
gisei [14]
josei [14]
jōhō [14]
kaette [14]
kyōkan [14]
nantoka [14]
naranai [14]
onaji [14]
oreniha [14]
rareta [14]
ryōdo [14]
saisho [14]
shin [14]
shinjite [14]
shōtai [14]
sunda [14]
taisei [14]
tari [14]
totsuzen [14]
tōmasu [14]
uchi [14]
warui [14]
zenin [14]
zettai [14]
zoku [14]
bīn [13]
chichi [13]
chūō [13]
dai [13]
desu [13]
doa [13]
fusagu [13]
hairu [13]
hazu [13]
hokyū [13]
ike [13]
iki [13]
imi [13]
ireba [13]
itteru [13]
kata [13]
koi [13]
kuchiku [13]
kunren [13]
kōdō [13]
mokuhyō [13]
monda [13]
motte [13]
nairu [13]
ryōkai [13]
sei [13]
sentō [13]
shiganshina-ku [13]
shimasu [13]
shini [13]
shirenai [13]
shisu [13]
sonzai [13]
sorya [13]
tabun [13]
tome [13]
tsuite [13]
washi [13]
yamete [13]
zutto [13]
ē [13]
100-nen [12]
aite [12]
deru [12]
gomen [12]
hi [12]
imasu [12]
issho [12]
kanarazu [12]
kisama-ra [12]
kke [12]
korosa [12]
koso [12]
kui [12]
kyōfu [12]
mazu [12]
mokuteki [12]
motto [12]
nado [12]
niku [12]
noda [12]
nonara [12]
nō [12]
omo [12]
setsumei [12]
shiji [12]
teta [12]
tsugi [12]
uaaaā [12]
yare [12]
yōda [12]
1-biki [11]
3-ri [11]
arawareta [11]
ashi [11]
ashita [11]
deta [11]
futatabi [11]
futsū [11]
fu~tsu [11]
gatta [11]
gijutsu [11]
igai [11]
ikenai [11]
ishi [11]
ittenda [11]
jikken [11]
jitai [11]
kantan [11]
katsu [11]
kimochi [11]
kinō [11]
kodomo [11]
kurai [11]
mondai [11]
nazo [11]
ndaga [11]
ndakedo [11]
ochitsuke [11]
orera [11]
osoraku [11]
saigo [11]
seyo [11]
shinde [11]
shinjiru [11]
shinnyū [11]
shinzō [11]
sobakasu [11]
tatakatte [11]
tsuyoi [11]
uaaaā~tsu [11]
uru [11]
yahari [11]
yappari [11]
yoru [11]
zenbu [11]
ōkina [11]
arureruto [10]
bakemono [10]
berutoruto [10]
chika [10]
chimatta [10]
da [10]
dareka [10]
dōda [10]
hiraku [10]
hitchi [10]
isoge [10]
itsumo [10]
iyada [10]
i~tsu [10]
kaishi [10]
kanōsei [10]
karura [10]
katsudō [10]
ko [10]
koitsu-ra [10]
konoyo [10]
kureta [10]
mattaku [10]
meirei [10]
mieru [10]
morau [10]
nakigoe [10]
naku [10]
ninshiki [10]
rarenai [10]
riyō [10]
ryōiki [10]
sakebigoe [10]
sekkin [10]
shimatta [10]
shiranai [10]
shiren [10]
sugata [10]
sukoshi [10]
tsumori [10]
unarigoe [10]
yattenda [10]
yatto [10]
zenshin [10]
2-wari [9]
atte [9]
azuma [9]
bokutachi [9]
bun [9]
dekita [9]
dentatsu [9]
dete [9]
dōjini [9]
engo [9]
eranda [9]
furantsu [9]
haha [9]
hajimete [9]
hanna [9]
hitsuyōna [9]
hokaku [9]
hā [9]
ikuzo [9]
isogi [9]
itai [9]
ite [9]
kake [9]
kangaeru [9]
katte [9]
kiken [9]
kondo [9]
korekara [9]
kowai [9]
kyojinda [9]
kyōryoku [9]
kōgeki [9]
matte [9]
miru [9]
modotte [9]
mīna [9]
nasai [9]
nikku [9]
ninmu [9]
nokorazu [9]
obieru [9]
oru [9]
sai [9]
sekinin [9]
shigoto [9]
shinkō [9]
shinyō [9]
shitsumon [9]
shitteru [9]
shusshin [9]
so [9]
sonnani [9]
subeki [9]
sugiru [9]
suteru [9]
sōiu [9]
tadashī [9]
tomo [9]
tto [9]
uaaā [9]
ugoki [9]
umaku [9]
ute [9]
uyoku-gawa [9]
wakatteru [9]
yamero [9]
ōku [9]
aitsu-ra [8]
anshin [8]
ba [8]
baai [8]
chikaku [8]
cho [8]
chū [8]
dakede [8]
damatte [8]
darenimo [8]
dekinakatta [8]
dore [8]
esa [8]
gata [8]
go [8]
goei [8]
hanji-san [8]
hashire [8]
hoshī [8]
ichido [8]
idō [8]
ikura [8]
isoide [8]
izen [8]
jōkan [8]
jūbun [8]
jūmin-tachi [8]
kachi [8]
kachiku [8]
kaeru [8]
kaishū [8]
kakeru [8]
katta [8]
kazoku [8]
kazu [8]
kekka [8]
ken [8]
kikō-shu [8]
koroshita [8]
koroshite [8]
kotaero [8]
kuse [8]
kuu [8]
kyojin-tachi [8]
kōtai [8]
mike [8]
moda [8]
motsu [8]
muda [8]
mōichido [8]
na~tsu [8]
nigasu [8]
niuma-sha [8]
nochi [8]
okage [8]
oku [8]
okāsan [8]
omotte [8]
oshiete [8]
oyaji [8]
pēru [8]
samueru [8]
sentaku [8]
seta [8]
shien [8]
shihai [8]
shiki [8]
shina [8]
shitai [8]
shozoku [8]
shōmei [8]
soreha [8]
sōbi [8]
sōtō [8]
taihō [8]
tanomu [8]
tasuke [8]
ten [8]
tomoni [8]
toppa [8]
totemo [8]
tsukamatsu [8]
tōbatsu [8]
wakatte [8]
yatteru [8]
♪〜 [8]
〜♪ [8]
2-tai [7]
3ttsu [7]
850-nen [7]
amari [7]
baruto [7]
bubun [7]
butai [7]
chisei [7]
daijōbuka [7]
ditā [7]
gen [7]
gomennasai [7]
gunta-san [7]
hakobu [7]
hanareru [7]
hayakushiro [7]
hitotsu [7]
hōkoku [7]
ichiban [7]
ichibu [7]
ikeba [7]
ikiru [7]
ikite [7]
jigoku [7]
jijitsu [7]
jinkō [7]
jishin [7]
kaketa [7]
kanryō [7]
ke [7]
kedo [7]
kekkō [7]
kikō [7]
kimeta [7]
kokoda [7]
kokoro [7]
konkyo [7]
konnani [7]
koreha [7]
koroshi [7]
kotoni [7]
kuchi [7]
kyoka [7]
mezasu [7]
miyou [7]
mizu [7]
moburitto [7]
monoda [7]
mottomo [7]
mucha [7]
mukatte [7]
nagaku [7]
namae [7]
nando [7]
nanina [7]
nattara [7]
nidoto [7]
nige [7]
ningenda [7]
nomi [7]
oitsuka [7]
omaeha [7]
onajida [7]
onna [7]
onnanoko [7]
otori [7]
otōsan [7]
owarida [7]
rei [7]
retsu [7]
sakini [7]
sasuga [7]
seika [7]
sen [7]
sensei [7]
shikatanai [7]
shikkari [7]
shimatte [7]
shine [7]
shippai [7]
shuppatsu [7]
shōkai [7]
shōnen [7]
sonotame [7]
soretomo [7]
sudeni [7]
suge [7]
susume [7]
tadori [7]
tane [7]
tasukaru [7]
tasukete [7]
tatakai [7]
teian [7]
tori [7]
tsuku [7]
tsurete [7]
tsūka [7]
ugoku [7]
uso [7]
wakede [7]
wa~tsu [7]
yabura [7]
yara [7]
yoshi [7]
yowai [7]
yubifue [7]
yuiitsu [7]
yōi [7]
zenei [7]
īkagen [7]
aizu [6]
arigatō [6]
arimasu [6]
atchi [6]
atode [6]
bakugeki-on [6]
bokura [6]
bōei [6]
chimau [6]
chi~tsu [6]
chūi [6]
deka [6]
dekireba [6]
ensei [6]
gatte [6]
gu~tsu [6]
haijo [6]
hana [6]
haya [6]
hayai [6]
heiki [6]
heta [6]
hima [6]
hinan [6]
hito-tachi [6]
hitobito [6]
honki [6]
hora [6]
hōhō [6]
ieba [6]
ika [6]
imo [6]
inanaki [6]
ittan [6]
itteta [6]
jissai [6]
kabegiwa [6]
kagiri [6]
kai [6]
kaitaku-chi [6]
kakete [6]
kanenone [6]
katenai [6]
katsuyaku [6]
kega [6]
kezu [6]
kibō [6]
kiite [6]
kioku [6]
kondokoso [6]
kotoba [6]
kunren-hei-tachi [6]
kyojin-domo [6]
kyōi [6]
kyū [6]
kōhō [6]
mawari [6]
meiun [6]
meshi [6]
mikata [6]
mitaida [6]
modore [6]
muke [6]
mura [6]
murida [6]
musuko [6]
nainoni [6]
nakami [6]
nakatta [6]
naraba [6]
nareba [6]
nigeru [6]
nigete [6]
ningensei [6]
nōryoku [6]
oke [6]
omaega [6]
omowa [6]
otoko [6]
otonashiku [6]
otosu [6]
oya [6]
oyobi [6]
rare [6]
renai [6]
risuku [6]
ryū-dan [6]
saikō [6]
saru [6]
sasage [6]
sassato [6]
semete [6]
senken [6]
setsudan [6]
shiganshina [6]
shikaku [6]
shikamo [6]
shimau [6]
shinji [6]
shirenē [6]
shitagae [6]
shitte [6]
shokun-ra [6]
shīna [6]
shōmen [6]
shūgeki [6]
songai [6]
soshi [6]
soshiki [6]
sotsugyō [6]
sugatawoarawasu [6]
sugita [6]
susurinaki [6]
sōten [6]
taiki [6]
tatte [6]
tomu [6]
toriaezu [6]
tsudzuke [6]
tsuita [6]
tsumorida [6]
tōzenda [6]
ushinai [6]
yarimasu [6]
yatsuda [6]
yurusa [6]
yūdō [6]
zenmetsu [6]
zetsumetsu [6]
zōen [6]
ōto [6]
3-bunno [5]
845-nen [5]
aaaā~tsu [5]
anka [5]
annani [5]
asoko [5]
atsui [5]
betsuni [5]
burausu [5]
chi [5]
chijō [5]
daiji [5]
dankai [5]
dasshutsu [5]
dogō [5]
dokoni [5]
dōiu [5]
dōki [5]
dōmo [5]
erenga [5]
eta [5]
fukanō [5]
fun [5]
fūgo [5]
garu [5]
geigeki [5]
genba [5]
genjō [5]
genkai [5]
genzai [5]
gusutafu [5]
gōryū [5]
haete [5]
hai~tsu [5]
hanasu [5]
hannesu-san [5]
hannō [5]
hehehehe [5]
heishida [5]
hidari [5]
hitoda [5]
hitsuyōda [5]
hon [5]
hotondo [5]
hōdan [5]
hōsei [5]
ichi [5]
ichizoku [5]
ieru [5]
ikedori [5]
ikinokoru [5]
ikinokotta [5]
ikou [5]
inaikara [5]
isshun [5]
isshō [5]
ito [5]
izure [5]
jakuten [5]
janakatta [5]
jihibiki [5]
jiyū [5]
junbi [5]
jutsu [5]
kangaeta [5]
kanjō [5]
kankeinai [5]
katei [5]
keru [5]
kii [5]
kikan [5]
kiku [5]
kimasu [5]
kimeru [5]
kimitachi [5]
kitai [5]
kizu [5]
kotona [5]
kowasa [5]
kutte [5]
kyori [5]
kōretsu [5]
marude [5]
matotta [5]
meireida [5]
meru [5]
mienai [5]
migi [5]
miriusu [5]
moburitto-bun [5]
moraou [5]
moshika [5]
moshikashite [5]
moto [5]
mukashi [5]
mushi [5]
musume [5]
mōsukoshi [5]
mōzesu [5]
nakunaru [5]
nanimonoda [5]
nanji [5]
nara [5]
nari [5]
natteru [5]
nattoku [5]
nazeda [5]
nesu-ku [5]
nichijō [5]
node [5]
nyūdan [5]
ochiru [5]
ochitsuite [5]
oioi [5]
omaeni [5]
omaeno [5]
omoidashita [5]
omoimasu [5]
orenimo [5]
otte [5]
remasu [5]
renkei [5]
retara [5]
ri [5]
rūto [5]
sasageru [5]
seiretsu [5]
seishuku [5]
seizei [5]
senpai [5]
shimashita [5]
shinakatta [5]
shinakute [5]
shingi [5]
shinogu [5]
shippaishita [5]
shishu [5]
shiyō [5]
shokuryō [5]
shunkan [5]
shutsugen [5]
shōki [5]
shōko [5]
shōri [5]
sokode [5]
soredemo [5]
sorosoro [5]
suki [5]
suman [5]
sumanai [5]
sumi [5]
sumisu [5]
sōin [5]
tadashiku [5]
takai [5]
tashikani [5]
tasukeru [5]
tatakatteru [5]
tatsu [5]
tatta [5]
temē-ra [5]
tenakatta [5]
tenkai [5]
tero [5]
tokubetsu [5]
tomatta [5]
tomodachi [5]
toraeta [5]
tsubusa [5]
tsudzukete [5]
tōsho [5]
ubawa [5]
uchikado [5]
ugokeru [5]
umi [5]
ushinatta [5]
ushiro [5]
usodaro [5]
waga [5]
wakarimasen [5]
watashitachiha [5]
yaiba [5]
yarou [5]
yasui [5]
yattara [5]
yoko [5]
yonde [5]
yoroshiku [5]
yume [5]
yurushita [5]
zankokuna [5]
ōiwa [5]
ōsei [5]
ūu [5]
104-ki [4]
57-kai [4]
abare [4]
aka [4]
akiraka [4]
an [4]
anawofusagu [4]
arawashita [4]
ari [4]
arukara [4]
attōtekina [4]
awa [4]
ayamatte [4]
bakana [4]
bakkari [4]
banda [4]
basho [4]
beruto [4]
betsu [4]
chanto [4]
chau [4]
chikushō [4]
chottomatte [4]
chōdo [4]
chōsa-hei [4]
daijōbuda [4]
dame [4]
danjo [4]
dareda [4]
dariusu [4]
dasu [4]
dekite [4]
denrei-hei [4]
dotchi [4]
dzume [4]
dōse [4]
dōshi [4]
ejiki [4]
ena [4]
erabe [4]
erenda [4]
erendakara [4]
etto [4]
fu [4]
fukaku [4]
fukin [4]
fune [4]
fusegu [4]
fuzaken [4]
fūsa [4]
haigo [4]
haitta [4]
