no [875]
wa [709]
ni [666]
ga [527]
o [509]
ka [307]
to [245]
eren [239]
yo [238]
a~tsu [219]
mo [219]
yumiru [202]
na [178]
kyojin [175]
nda [165]
de [162]
rainā [155]
koto [132]
kurisuta [109]
n [108]
watashi [107]
〜 [97]
kono [95]
tte [89]
mikasa [88]
omae [87]
arumin [82]
u~tsu [81]
zo [81]
ā [81]
nani [80]
konī [79]
ore [79]
iru [75]
~tsu [74]
sono [70]
suru [70]
ima [65]
shita [65]
shite [65]
e [63]
sasha [63]
sore [63]
ī [63]
ano [62]
koko [62]
mō [62]
ū [61]
aru [60]
demo [60]
kabe [60]
kara [60]
berutoruto [58]
made [58]
u [57]
omaera [53]
heishi [52]
a [51]
ne [51]
sō [50]
oi [48]
toki [48]
hanji [47]
jibun [47]
dō [46]
hā [46]
ha~tsu [45]
sa [45]
shi [45]
sonna [42]
ku~tsu [40]
ya [40]
iu [36]
iya [35]
teru [35]
dake [34]
ja [34]
naka [34]
ani [33]
janai [33]
janē [33]
nande [33]
2-ri [32]
chōsa [32]
mada [32]
nai [32]
oretachi [32]
reta [32]
eruvu~in [31]
hito [31]
ita [31]
e~tsu [30]
konna [30]
kore [30]
heidan [29]
rete [29]
ato [28]
gerugā [28]
mama [28]
nā [27]
datte [26]
ki [26]
nanaba [26]
oto [26]
tokoro [26]
jinrui [25]
kure [25]
nante [25]
tada [25]
tame [25]
uwa~tsu [25]
u~ōru [25]
aitsu [24]
hannesu [24]
iku [24]
mura [24]
mā [24]
naru [24]
♪〜 [24]
〜♪ [24]
are [23]
jan [23]
kita [23]
ko [23]
yatsu [23]
yoroi [23]
yō [23]
uwa [22]
dekiru [21]
rivu~ai [21]
uma [21]
chikara [20]
hai [20]
natta [20]
re [20]
wareware [20]
yori [20]
karada [19]
nanida [19]
yoku [19]
furusato [18]
hontōni [18]
kamo [18]
kuso [18]
mike [18]
reru [18]
shiro [18]
sorya [18]
teta [18]
watashitachi [18]
yaru [18]
yoru [18]
ze [18]
dare [17]
mata [17]
mon [17]
inai [16]
koitsu [16]
moburitto [16]
ndaro [16]
otakebi [16]
ā~tsu [16]
doko [15]
hayaku [15]
itte [15]
jōkyō [15]
kite [15]
masaka [15]
mate [15]
ana [14]
anata [14]
baka [14]
daga [14]
ie [14]
matte [14]
minna [14]
mori [14]
nē [14]
yatsu-ra [14]
ō [14]
1-ri [13]
chi [13]
hanashi [13]
i [13]
ichidō [13]
inochi [13]
itta [13]
ittai [13]
kenpei [13]
kotoda [13]
kyojin-ka [13]
mono [13]
natte [13]
naze [13]
ndaga [13]
omou [13]
rīne [13]
rōze [13]
saki [13]
shinu [13]
sugu [13]
sā [13]
sōda [13]
taichō [13]
teki [13]
uso [13]
wakatta [13]
yatte [13]
ashioto [12]
dakeda [12]
dekinai [12]
hazuda [12]
hisutoria [12]
hoka [12]
itsumo [12]
kanarazu [12]
kuru [12]
nakatta [12]
nanika [12]
nanka [12]
rainā-tachi [12]
se [12]
sekai [12]
soko [12]
yatta [12]
zutto [12]
anta [11]
boku [11]
chōsa-hei [11]
han [11]
iwa [11]
jikai [11]
jā [11]
kangae [11]
kudasai [11]
kuwa [11]
me [11]
nikku [11]
orera [11]
pikushisu [11]
saru [11]
shitara [11]
soshite [11]
te [11]
tsurete [11]
wake [11]
zenin [11]
dakara [10]
dameda [10]
hazu [10]
kanojo [10]
kitto [10]
minami [10]
moshi [10]
motte [10]
nanda [10]
na~tsu [10]
ndakara [10]
sakki [10]
shikashi [10]
ten [10]
tenai [10]
un [10]
warui [10]
104-ki [9]
arigatō [9]
ashi [9]
bokura [9]
danchō [9]
dazu [9]
hakai [9]
hitsuyō [9]
issho [9]
kaeru [9]
keiji [9]
mi [9]
miro [9]
namae [9]
nan [9]
ndakedo [9]
nige [9]
ningen [9]
nonara [9]
omotta [9]
o~tsu [9]
shiyou [9]
shōnen [9]
shōtai [9]
subete [9]
tabun [9]
tasuke [9]
tatakai [9]
tsumori [9]
tō [9]
yarō [9]
zettai [9]
ū~tsu [9]
3-ri [8]
aite [8]
gatta [8]
gomen [8]
hajimete [8]
ichiban [8]
inanaki [8]
ishi [8]
ittenda [8]
kyō [8]
matsu [8]
mokuteki [8]
oioi [8]
oshiete [8]
sete [8]
seyo [8]
shin [8]
shine [8]
toka [8]
tomo [8]
tonikaku [8]
u~tsuū [8]
yamero [8]
chichi [7]
dareka [7]
desu [7]
gu~tsu [7]
hashitte [7]
hi [7]
hō [7]
ijō [7]
jōhō [7]
kaette [7]
kanōsei [7]
